"ID","p1","p2","p3","p4","p5","p6","p7","p8","p9","p10","p11","p12","p13","p14","p15","p16","p17","p18","p19","p20","p21","p22","p23","p24","p25","p26","p27","p28","p29","p30","p31","p32","p33","p34","p35","p36","p37","p38","p39","p40","p50"
0,95.44,98.63,102.79,99.71,96.48,93.32,88.99,84.61,83.39,82.91,85.47,86.58,82.44,78.56,78.2,80.72,83.47,87.25,89.34,92.31,96.46,96.55,97.4,97.58,97.71,96.55,94.49,92.22,88.27,85.03,84.63,90.57,86.88,86.27,83.42,80.25,76.95,73.69,69.15,67.07,56.62
1,104.11,104.35,104.32,104.55,103.28,99.04,96.37,97.07,96.48,92.71,91.03,90.58,92.69,94.93,94.54,94.61,95.75,92.58,90.75,90.86,82.87,84.54,85.6,81.6,77.34,77.2,77.05,73.91,69.59,67.89,66.82,65.94,70.9,70.07,69.43,69.45,68.24,68.39,72,71.67,52.6
2,109.64,109.58,110.92,108.53,104.98,102.64,107.21,107.96,114.28,111.6,111.47,114.07,115.18,117.57,120.33,122.13,119.96,120.61,122.55,119.23,119.13,119.45,121.17,123.57,128.52,126.37,123.59,116.31,120.6,120.72,116.42,117.49,117.19,120.93,122.84,124.58,126.5,130.17,131.77,136.22,125.94
3,104.99,103.48,104.35,104.64,104.9,101.73,100.89,104.89,105.02,105.51,105.48,103.95,104.56,109.41,111.42,113.02,111.91,112.94,113.09,115.59,119.67,119.48,119.77,120.18,118.36,116.48,115.47,113.08,111.42,108.17,105.96,106.08,108.09,108.14,109.1,108.68,111.6,115.23,117.05,119.02,138.97
4,108.99,102.78,99.99,98.17,94.41,95.75,96.35,98.1,98.85,94.94,91.81,88.67,86.33,86.52,86.81,87.47,87.2,87.22,91.26,94.92,98.33,104.47,102.48,101.01,101.32,106.95,107.51,104.72,105.45,103.33,103.33,100.85,97.59,96.23,94.31,97.42,100.85,104.61,108.91,111.31,120.89
5,104.11,106.35,108.06,107.64,107.2,110.76,112.91,112.54,114.87,116.78,118.4,119.73,121.89,124.39,127,129.53,131.28,134.47,137.71,140.14,143.57,144,145.66,149.56,146.74,142.24,141.15,141.04,137.56,137.53,135.1,132.43,131.54,132.41,132.18,134.46,136.33,142.06,145.47,148.06,146.42
6,100.89,103.85,107.56,107.39,106.66,102.02,102.85,100.76,97.43,94.12,95.66,98.93,101.94,101.48,101.75,104.6,107,109,109.54,107.02,101.21,100.59,100.59,100.84,101.03,100.25,101.27,102.69,101.69,103.63,103.64,102.57,102.18,101.88,99.16,97.26,96.69,95.29,96.61,95.14,83.8
7,92.16,89.71,86.91,83.87,79.97,78,77.24,76.54,79.33,81.73,84.44,78.59,77.97,75.92,75.9,76.05,76.97,78.01,85.94,92.78,97.14,97.96,91.3,92.23,95.02,98.79,108.2,104.92,100.53,97.03,93.97,90.99,90.48,95.75,98.04,98.17,98.3,102.03,100.31,95.83,90.09
8,98.13,99.73,100.75,103.47,107.43,110.81,113.1,117.01,119.33,120.67,120.4,121.92,121.95,121.68,119.23,119.21,119.36,116.61,115.06,112.03,107.88,105.12,105.24,107.6,108.63,109.62,110.52,106.65,103.6,101.84,101.65,102.31,102.25,103.89,103.11,105.89,102.75,104.57,104.73,108.34,127.54
9,92.81,90.48,90.7,88.21,84.66,82.87,81.92,79.96,76.73,72.85,72.62,74.24,73.61,71.52,68.34,65.33,61.72,60.27,58.11,47.42,50.21,50.49,53.65,57.54,56.03,53.12,49.15,47.59,46.64,44.56,42.71,41.36,38.94,35.68,29.52,34.07,35.25,38.62,39.93,40.22,33.57
10,94.25,96.06,95.43,102.49,99.09,97.95,91.95,94.71,98.07,101.86,104.58,106.54,109.28,111.79,111.12,106.78,103.83,103.29,99.51,98.68,95.25,91.63,88.68,85.07,79.78,76.71,76.1,75.64,75.11,72.2,69.94,73.61,76.29,77.11,74.93,72.68,69.2,68.22,68.86,67.47,65.45
11,110.52,110.14,108.44,109.63,110.1,107.58,109.56,111.91,115.74,119.44,121.95,122.71,126.52,127.62,132.34,139.82,140.42,137.15,135.82,132.56,129.31,126.49,124.76,123.8,121.59,117.47,115.46,113.28,111.8,112.67,113.26,115.11,119.16,123.9,128.55,129.86,131.41,130.43,131.01,127.63,154.7
12,91.25,89.44,86.64,88.79,88.84,88.43,92.09,90.67,90.11,89.2,84.67,81.9,78.77,75.82,75.38,74.11,73.81,73.57,67.82,62.56,65.23,67.97,69.55,72.52,74.34,77.47,83.72,81.48,76.93,79.41,78.35,76.87,80.14,81.41,83.11,85.26,87.04,89.25,87.53,84.81,92.61
13,109.78,111.61,114.19,115.21,111.63,109,100.28,101.17,102.25,108.27,117.12,114.49,114.19,110.64,107.73,106.94,110.04,113.75,115.93,120.1,123.88,123.36,126.91,128.42,132.18,135.51,137.01,138.27,136.09,132.47,131.22,131.33,130.64,129.3,121.61,114.95,109.58,112.24,115.99,119.14,136.26
14,106.82,109.66,112.65,116.82,117.95,118.58,118.75,119.98,123.09,126.67,125.75,124.54,122.62,120.65,118.09,114.83,111.75,108.24,105.48,103.47,100.91,102.21,105.09,100.63,95.61,92.23,88.76,85.98,84.73,85.95,86.7,84.93,81.77,78.73,73.86,75.03,75.88,76.33,77.48,78.66,76.71
15,92.95,97.36,99.28,101.4,109.07,117.5,115.43,111.56,109.24,107.76,105.07,102.89,97.93,94.82,94.31,94.71,98.82,99.09,100.36,102.91,106.23,108.88,111.76,116.77,113.55,110.02,106.22,103.5,97.11,102.86,102.72,98.91,95.64,93.28,88.23,82.55,84.1,88.31,92.28,94.44,111.33
16,88.13,85.4,83.17,80.59,80.47,77.04,78.88,83,79.44,77.52,76.26,79.84,79.62,80.06,80.04,78.1,76.06,72.91,70.98,72.17,71.88,69.72,66.58,63.95,62.86,63.1,66.48,62.4,58.21,55.57,54.95,50.86,46.87,42.98,42.51,43.21,43.53,40.06,31.61,28.9,19.03
17,99.31,93.85,93.87,98.05,95.07,92.6,89.57,84.87,82.47,82,79.01,74.66,70,66.4,62.52,64.03,65.81,69.11,65.73,64.98,62.59,55.33,58.75,60.39,61.71,64.34,65.37,64.48,62.02,60.24,58.31,54.97,50.63,48.14,44.69,40.87,38.72,34.02,30.01,27.18,30.21
18,104.99,102.08,102.63,103.63,107.03,106.62,105.98,105.3,105.42,105.69,107.05,111.23,112.8,114.11,113.9,112.37,110.15,106.39,103.99,102.01,101.21,98.89,102.36,103.25,99.75,98.9,96.92,96.7,91.7,84.96,88.4,92.67,95.67,100.26,97.92,101.79,111.49,114.16,118.3,121.7,158.35
19,108.61,110.19,108.13,107.05,105.02,102.96,101.31,103.5,102.31,98.87,101.96,103.46,105.72,109.35,113.8,118,121.36,123.62,127.22,126.25,128.89,128.61,133.03,129.68,125.37,126.46,126.68,124.5,122.71,120.15,121.13,124.04,126.74,129.82,133.08,136.95,136.82,138.66,142,135.42,161.07
20,92.07,87.07,85.69,86.42,89.75,91.52,93.43,97.59,94.1,90.79,87.17,83.91,81.49,78.99,76.35,73.86,74.56,76,77.89,80.95,80.3,81.23,83.65,85.69,88.32,91.81,91.92,94.48,97.07,100.21,102.27,105.27,106.66,108.47,109.49,109.47,113.63,115.01,118.47,121.42,118.96
21,105.34,103.15,99.37,96.32,91.57,89.19,85.5,84.53,84.1,82.83,83.18,83.44,81.32,82.2,83.25,86.5,90.28,93.03,96.56,98.71,102.69,104.74,104.71,106.71,105.41,110.55,114.27,116.2,117.77,118.29,120.02,123.4,127.44,126.97,123.5,120.84,118.23,116.45,112.49,110.36,111.92
22,94.8,96.31,97.21,97.28,94.99,93.36,90.47,88.72,85.23,84.38,88.12,84.89,81.69,77.36,81.56,83.31,85.89,90.17,92.01,96.34,97.92,100.12,101.47,105.03,108.48,111.21,109.87,110.04,109.91,106.98,104.77,102.24,98.58,96.02,94.43,94.75,96.2,100,103.49,108.5,116.94
23,90.23,94.6,97.1,100.39,104.62,104.67,104.89,101.48,102.02,103.39,103.58,101.7,101.51,100.64,101.27,105.77,109.44,111.93,113.97,117.03,118.52,122.39,118.77,119.2,119.66,120.4,124.39,127.01,128.28,135.12,133.51,137.31,141.63,144.23,144.27,142.8,142.02,142.1,139.26,139.06,131.93
24,94.61,91.81,91.92,90.79,90.26,87.21,84.06,79.62,76.42,73.87,73.95,72.61,68.29,65.35,63.49,60.9,58,55.69,53.92,50.86,47.12,39.77,38.4,36,33.73,34.71,32.46,23.18,24.85,29,32.36,40.01,37.01,35.42,33.21,30.26,28.55,25.2,22.92,23.35,27.25
25,105.83,107.97,112.84,115.29,115.34,118.78,121.67,124.04,127.72,129.58,135.79,131.26,131.28,128.54,128.01,130.42,140.25,140.03,138.97,140.06,141.77,141.22,141.89,139.05,138.94,141.57,144.65,144.85,138.18,138.92,141.2,143.19,147.35,148.61,152.88,152.78,160.11,156.94,154.69,154.31,173.97
26,99.97,103.49,101.79,105.19,106.57,107.58,111.55,113.29,115.37,118.42,120.82,126.79,123.87,118.7,118.07,114.79,112.2,112.34,110.12,109.7,109.58,109.33,108.54,109.78,107.55,106.77,103.32,105,102.74,102.35,99.78,99.02,95.83,98.74,98.35,94.08,93.68,96.73,96.8,95.55,123.13
27,107.19,106.07,102.67,100.97,98.47,99.65,105.47,102.68,98.34,97.69,97.93,93.62,96.92,98.12,98.29,97.45,98.82,101.34,99.89,103.73,105.17,105.89,108.2,110.97,114.3,117.2,119.99,121.74,122.63,122.96,123.19,119.56,121.27,123.29,125.36,129.14,129.98,129.11,128.98,129.8,108.62
28,96.12,95.87,96.63,98.99,101.63,101.86,102.21,101.99,103.31,106.77,111.1,113.53,116.44,120.58,122.85,124.96,127.52,130.67,134.03,135.71,139.03,139.02,138.54,138.85,146.13,143.34,142.36,139.36,133.97,136.88,138.91,141.57,142.96,144.61,146.05,147.43,145.49,145.84,147.73,141.57,163.28
29,103.85,102.28,96.59,100.28,102.24,103.31,102.85,102.15,101.27,96.33,99.05,98.64,104.72,113.5,110.71,108.11,107.51,106.23,103.35,105.12,100.18,102.4,104.14,106.76,108.8,109.76,114.02,112.14,107.58,112.3,111.7,106.08,101.69,99.17,97.48,94.51,92.47,91.91,91.22,90.66,78.5
30,100.51,101.5,106.74,108.95,111.59,114.54,116.6,118.63,121.74,125.23,127.29,131.64,135.08,138.13,138.93,138.19,135.3,133.5,128.71,126.65,127.6,127.71,131.14,130.4,138.28,139.83,140.72,142.66,142.45,148.14,147.93,144.91,143.73,143.52,147.28,148.27,151.16,151.73,153.49,157.72,169.41
31,100.34,103.14,105.27,107.88,111.23,112.41,111.47,110.09,107.37,106.39,104.81,104.18,104.57,103.92,100.48,100.41,103.3,106.47,107.84,109.31,111.12,113.84,116.35,118.58,119.67,122.22,121.64,120.85,123.41,122.65,119.91,112.46,114.4,114.78,111.53,108.2,108.31,108.49,107.35,99.92,116.95
32,108.83,111.08,116.34,119.39,118.9,118.05,114.03,110.78,107.73,103.56,105.07,107.75,112.06,115.47,111.31,108.95,106.63,102.81,102.26,102.66,101.3,103.95,108.99,106.37,104.42,100.6,97.85,95.52,92.54,91.12,92.96,90.05,88.34,86.75,87.3,85.78,83.01,79.66,80.09,79.7,66.72
33,101.65,102.42,102.11,106.87,102.2,98.15,97.08,93.41,89.85,86.19,87.48,87.33,90.31,92.71,96.22,98.63,103.36,106.48,112.98,111.93,112.02,111.39,109.23,107.23,103.32,100.68,96.28,94.9,93.93,92.46,91.61,90.59,91.11,93.69,92.49,91.78,90.28,86.51,85.63,82.16,71.03
34,92.14,95.01,102.57,103.46,104.8,103.35,103.79,104.45,102.48,102.09,103.85,105.06,109.01,106.48,102.82,98.84,98.3,95.37,91.93,88.52,85.69,83.04,79.61,75.26,72.55,69.95,66.5,62.16,59.64,61.61,67.07,62.92,58.86,55.69,52.11,49.66,47.42,42.57,39.64,37.81,21.05
35,101.87,104.09,108.61,115.71,112.76,109.52,105.85,100.82,96.3,92.15,93.28,96.25,98.79,102.14,105.02,107.61,110.29,111.64,111.54,111.41,106.94,103.97,104.36,106.85,106.89,107.18,104.67,101.64,97.27,97.27,98.59,101.05,108.18,106.16,104.02,102.26,98.79,97.22,95.21,95.08,87.6
36,110.47,115.65,120.44,121.53,114.26,110.55,112.15,114.73,117.02,116.49,120.93,118.72,115.44,112.36,110.11,111.99,109.09,106.69,102.74,100.62,96.06,95.2,94.03,94.68,95.67,100.17,101.95,103.04,106.04,109.07,109.32,110.78,108.98,109.32,111.22,108.56,105.98,107.07,106.24,104,101.44
37,97.23,100.44,105.03,107.52,109.65,113.79,114.95,112.65,111.36,114.3,116.22,120.2,119.76,117.17,115.17,111.38,108.66,105.03,101.97,101.18,97.94,95.4,95.15,91.94,90.91,88.08,86.31,83.16,80.48,80.9,80.78,80.47,75.27,76.7,79.48,83.03,85.05,85.29,84.06,83.2,82.71
38,90.67,92.05,95.78,94.07,96.57,100.27,104.38,108.13,111.47,111.76,113.74,117.51,119.97,121.83,125.87,126.3,126.85,130.05,133,136.87,140.29,141.37,137.92,137.58,136.99,135.67,135.93,135.44,131.23,136.01,138.1,140.13,143.43,145.99,146.64,150.09,151.33,153.44,156.32,159.82,152.4
39,105.18,105.89,108.85,107.86,104.4,98.35,96.31,94.62,93.57,96.3,100.47,102.62,105.74,105.03,111.1,113.39,117.06,117.18,114.68,111.24,108.51,110.1,113.09,116.42,121.03,122.34,121.64,122.68,122.08,122.25,119.61,119.25,124.15,121.16,120.84,122.02,123.07,122.99,121.67,118.12,108.69
40,105.04,99.04,95.41,93.32,90.06,86.12,83.12,77.58,74.31,75.73,74.6,77.84,80.51,79.08,81.18,84.81,88.1,93.26,95.22,89.73,93.41,97.9,99.39,102.04,99.49,96.12,94.01,91.11,87.91,84.67,83.95,81.36,76.5,72.97,71.92,75.87,79.61,81.13,81.41,80.95,74.3
41,105.38,107.42,110.99,114.69,118.03,121,124.46,126.69,130.11,132.36,132.98,136.76,131.62,129.34,126.71,125.61,123.26,121.43,119.51,115.98,118.69,119.75,121.48,121.31,120.93,122.79,124.65,126.37,126.78,128.39,131.92,135,138.23,140.35,141.51,141.49,140.57,139.66,138.41,138.95,109.49
42,109.62,115.7,112.65,109.65,106.26,101.72,99.85,95.8,93.24,90.82,92,87.54,82.71,83.96,86.5,91.13,90.57,88.07,83.78,80.51,78.42,75.47,74.7,73.25,73.38,77.24,80.07,82.89,84.82,86.37,86.27,85.35,85.4,85,89.11,89.94,92.71,95.39,95.21,94.08,73.08
43,97.13,96.89,97.34,95.76,87.53,90.92,92.91,97.03,100.45,103.29,102.88,105.6,110.56,113.51,115.32,117.99,116.96,119.62,122.74,126.69,127.6,128.88,132.44,136.38,136.66,136.75,139.67,143.24,147.59,149.84,150.11,151.06,154.39,156.16,156.85,154.57,154.82,158.6,161.41,167.59,189.03
44,99.79,100.05,104.36,101.63,99.74,96.81,96.43,99.11,102.53,106.6,107.64,108.68,108.48,115.69,112.55,111.35,108.82,105.23,104.13,100.67,95.56,98.55,99.82,101.81,103.89,107.79,107.28,106.92,109.68,118.2,118.27,118.96,121.25,124.49,120.9,117.33,118.31,115.48,114.12,113.79,97.67
45,99.83,99.65,100.4,100.72,98.73,98.63,95.41,96.16,97.34,98.02,91.68,92.98,96.05,95.35,95.69,95.7,99.2,101.78,108.74,104.52,98.25,100.94,109.95,107.77,107.23,109.33,110.88,114.49,117.12,120.96,123.91,127.37,125.48,125.36,125.32,125.67,126.25,126.53,128.05,129.57,123.65
46,94.37,95.54,94.74,93.95,92.23,89.11,86.64,83.82,82.07,80.2,76.63,73.12,69.2,65.44,62.35,63.16,64.81,61.86,63.22,59.56,56.98,52.19,46.4,47.68,47.87,51.84,50.27,48.99,45.76,42.09,40.01,39.7,36.86,36.21,35.35,32.74,34.52,37,39.63,41.33,42.18
47,101.47,97.97,94.15,90.55,87.02,86.99,85.88,79.53,82,85.75,92.92,93.75,90.27,89.65,86.66,83.13,85.19,86.04,85.11,87.66,88.87,91.19,94.05,95.82,99.35,101.35,102.4,104.03,106.75,110.33,109.75,109.15,110.94,114.1,114.19,115.22,112.24,107.89,108.51,108.94,108.2
48,101.91,105.24,106.49,103.03,101.49,99.06,99.21,96.98,94.34,91.42,88.88,91.11,90.76,88.21,81.98,84.9,89.55,92.12,94.41,100.31,97.7,94.71,91.26,91.62,85.64,88.94,90.16,92.71,94.09,94.96,91.61,89.83,89.24,87.53,89.51,90.17,85.79,80.77,83.82,89.22,98.85
49,99.05,102.98,106.42,109.68,113.74,116.29,119.61,122.48,122.16,118.82,116.22,116.3,119.82,121.5,119.53,119.12,114.75,112.95,108.56,110.07,107.74,108.19,110.64,111.06,102.93,100.19,97.66,94.74,91.37,88.09,88.13,91.79,95.66,98.1,100.31,98.37,94.36,95.75,96.02,95.13,104.37
50,103.5,106.55,107.52,106.11,107.88,104.99,103.19,101.47,98.62,95.18,93.84,89.81,85.53,83.13,84.86,83.99,81.91,78.3,75.54,72.68,74.2,71.13,69.52,65.22,63,61.08,55.21,58.46,60.39,58.88,63.83,66.25,67.89,70,69.42,70.09,69.69,69.35,67.77,63.28,58.45
51,93.48,90.2,88.46,86.4,82.74,79.31,79.28,77.76,77.66,79.45,82.83,83.99,84.34,81.21,81.63,78.86,75.68,71.99,66.53,66.53,64.31,63.55,60.48,59.39,57.73,57.79,61.32,63.66,64.84,68.73,68.37,66.42,66.7,62.74,60.61,57.11,54.32,52.9,50.35,48.37,34.67
52,91.07,93.44,97.6,100.99,104.7,107.5,110.13,113.48,115.15,116.65,120.69,123.01,126.81,128.14,130.61,133.26,133.25,137.02,139.88,140.52,143.57,143.82,146.45,149.25,151.75,151.61,153.59,155.45,158.15,157.96,150.52,153.47,156.65,158.18,160.27,160.31,159.36,158,163.03,164.5,185.2
53,97.32,100.49,104.32,107.62,109.52,115.13,116.6,115.5,117.1,119.89,121.61,121.45,124.75,132.33,136.32,139.4,142.33,147.5,153.13,150.58,147.53,143.7,143.4,144.29,147,149.51,152.23,154.03,156.02,159.07,159.51,158.95,156.06,151.55,151.4,155,156.13,155.53,156.51,154.83,178.14
54,110.71,108.2,108.33,107.74,107.31,108.39,108.64,108.6,108.65,106.69,103.78,103.5,107.33,109.22,111.14,117.06,114.72,111.76,109.63,107.2,108.98,103.63,104.94,104.86,103.29,101.02,102.75,105.02,106.8,107,107.27,108.61,106.55,104.46,101.76,96.77,94.6,92.31,89.3,85.56,104.75
55,96.51,91.8,88.79,88,88.26,86.5,87.48,91.45,94.22,98.16,101.33,102.72,98.9,94.78,93.98,94.89,96.13,90.29,93.73,95.73,96.25,98.88,101.43,103.9,107.06,108.48,108.86,108.74,110.03,111.09,109.05,109.48,108.69,108.68,107.93,108.04,111.53,113.82,116.91,116.69,111.8
